latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.26592,138.8143,379.63,2.07,1.4,2022-02-26,0100,T,100,6.1NRT,285.39,441.43,D
35.26411,138.83537,364.25,2.07,1.4,2022-02-26,0100,T,94,6.1NRT,284.6,281.06,D
35.2623,138.85632,373,2.06,1.4,2022-02-26,0100,T,94,6.1NRT,287.97,354.26,D
35.26047,138.87755,422.38,2.05,1.39,2022-02-26,0100,T,94,6.1NRT,298.45,1176.79,D
35.25861,138.89905,393.93,2.04,1.39,2022-02-26,0100,T,100,6.1NRT,293.87,613.75,D
35.24797,138.87572,381.61,2.05,1.39,2022-02-26,0100,T,100,6.1NRT,288.26,445.06,D
35.24612,138.89728,380.49,2.04,1.39,2022-02-26,0100,T,100,6.1NRT,291.96,433.27,D
35.23549,138.87372,311.2,2.05,1.39,2022-02-26,0100,T,39,6.1NRT,277.99,26.12,D
35.23365,138.89531,318.1,2.04,1.39,2022-02-26,0100,T,62,6.1NRT,285.84,43.29,D
-18.1986,138.17731,330.69,1.45,1.19,2022-02-26,0115,T,64,6.1NRT,308.8,18.2,D
-18.20592,138.14874,332.31,1.44,1.19,2022-02-26,0115,T,76,6.1NRT,308.6,23.25,D
-22.8632,133.53938,336.77,1.01,1,2022-02-26,0117,T,81,6.1NRT,317.11,16.98,D
-23.77582,130.6763,331.87,1.1,1.04,2022-02-26,0117,T,35,6.1NRT,314.35,10.87,D
-23.77752,130.68697,339.07,1.1,1.04,2022-02-26,0117,T,83,6.1NRT,315.74,21.89,D
-23.78599,130.7402,341.59,1.09,1.04,2022-02-26,0117,T,84,6.1NRT,317.17,28.54,D
-23.79702,130.74911,331.87,1.09,1.04,2022-02-26,0117,T,27,6.1NRT,315.76,13.29,D
-23.87982,130.7496,330,1.09,1.04,2022-02-26,0117,T,52,6.1NRT,314.62,9.48,D
-28.02936,-55.97342,300.9,2.43,1.5,2022-02-26,0151,T,35,6.1NRT,290.52,11.56,N
-28.06546,-58.01266,301.12,3.37,1.73,2022-02-26,0151,T,38,6.1NRT,278.1,26.52,N
-27.37748,-58.19127,302.07,3.41,1.74,2022-02-26,0151,T,46,6.1NRT,284.9,21.3,N
-22.91367,-43.73739,305.03,1.77,1.3,2022-02-26,0153,T,46,6.1NRT,293.61,12.48,N
-22.90202,-43.73992,303.91,1.77,1.3,2022-02-26,0153,T,46,6.1NRT,293.37,9.92,N
-23.62761,-48.82637,307.31,1,1,2022-02-26,0153,T,71,6.1NRT,290.68,7.55,N
-24.09125,-59.75301,305.44,4.05,1.87,2022-02-26,0153,T,30,6.1NRT,292.63,35.52,N
-24.0943,-59.79326,305.4,4.08,1.87,2022-02-26,0153,T,29,6.1NRT,292.95,35.73,N
-20.23707,-40.24786,301.36,3.57,1.77,2022-02-26,0153,T,40,6.1NRT,290.65,21.12,N
-19.79715,-58.75784,305.82,3.05,1.66,2022-02-26,0153,T,65,6.1NRT,281.3,29.75,N
-19.79826,-58.76447,303.15,3.05,1.66,2022-02-26,0153,T,52,6.1NRT,281.41,23.45,N
-19.72831,-59.29898,305.36,3.34,1.72,2022-02-26,0153,T,63,6.1NRT,288.62,22.98,N
-19.71271,-59.30057,318.4,3.34,1.72,2022-02-26,0153,T,97,6.1NRT,288.84,78.95,N
-19.71438,-59.27442,306.09,3.32,1.72,2022-02-26,0153,T,67,6.1NRT,288.58,24.33,N
-19.71753,-59.30624,318.46,3.34,1.72,2022-02-26,0153,T,97,6.1NRT,288.8,78.99,N
12.03828,2.75413,307.81,1.18,1.08,2022-02-26,0141,A,55,6.1NRT,289.24,10.34,N
12.03661,2.76483,309.62,1.18,1.08,2022-02-26,0141,A,75,6.1NRT,289.75,12.33,N
12.03032,2.74187,326.05,1.18,1.08,2022-02-26,0141,A,100,6.1NRT,291.8,29.84,N
12.02864,2.75257,350.45,1.18,1.08,2022-02-26,0141,A,100,6.1NRT,295.08,79.86,N
12.02697,2.76328,317.46,1.18,1.08,2022-02-26,0141,A,69,6.1NRT,291.43,19.09,N
11.03027,1.08843,308.63,1.04,1.02,2022-02-26,0143,A,75,6.1NRT,291.62,8.71,N
11.00931,1.10437,317.3,1.04,1.02,2022-02-26,0143,A,50,6.1NRT,292.32,14.83,N
10.99115,1.10158,306.55,1.04,1.02,2022-02-26,0143,A,31,6.1NRT,292.28,7.23,N
10.33357,1.53826,310.38,1.08,1.04,2022-02-26,0143,A,80,6.1NRT,293.34,10.55,N
10.53495,-0.40843,308.46,1,1,2022-02-26,0143,A,75,6.1NRT,295.17,7.94,N
8.11443,-1.62745,304.57,1.02,1.01,2022-02-26,0143,A,61,6.1NRT,292.25,4.68,N
8.11308,-1.61827,321.52,1.02,1.01,2022-02-26,0143,A,100,6.1NRT,292.94,18.91,N
8.11175,-1.60915,305.14,1.02,1.01,2022-02-26,0143,A,63,6.1NRT,292.39,5.22,N
7.16162,0.02368,316.18,1.02,1.01,2022-02-26,0143,A,66,6.1NRT,296.52,10.88,N
7.16024,0.03283,315.59,1.02,1.01,2022-02-26,0143,A,49,6.1NRT,296.68,10,N
7.15259,0.02231,306.65,1.02,1.01,2022-02-26,0143,A,19,6.1NRT,296.06,4.41,N
5.55886,5.07064,307.92,2.17,1.43,2022-02-26,0143,A,57,6.1NRT,294.49,19.39,N
5.36062,4.35157,315.13,1.92,1.35,2022-02-26,0143,A,87,6.1NRT,295.4,27.99,N
5.36782,4.34749,306.81,1.92,1.35,2022-02-26,0143,A,49,6.1NRT,295.55,12.08,N
5.35574,4.34562,310.36,1.92,1.35,2022-02-26,0143,A,70,6.1NRT,295.32,18.1,N
4.30322,7.65692,310.11,3.66,1.79,2022-02-26,0143,A,69,6.1NRT,289.73,53.23,N
4.29793,7.68944,306.08,3.68,1.8,2022-02-26,0143,A,41,6.1NRT,289.31,35.78,N
4.31018,7.65355,307.63,3.66,1.79,2022-02-26,0143,A,55,6.1NRT,289.03,42,N
4.30513,7.68612,308.13,3.68,1.8,2022-02-26,0143,A,59,6.1NRT,288.82,44.53,N
4.02207,7.49703,309.78,3.6,1.78,2022-02-26,0143,A,68,6.1NRT,293.18,45.95,N
4.47437,-2.55463,316.22,1.03,1.02,2022-02-26,0145,A,90,6.1NRT,295.29,12.15,N
4.47302,-2.54543,315.33,1.03,1.02,2022-02-26,0145,A,88,6.1NRT,295.39,11.35,N
32.5122,6.714,306.34,1.05,1.02,2022-02-26,0136,A,68,6.1NRT,278.06,12.95,N
31.66339,6.05864,306.63,1.03,1.01,2022-02-26,0136,A,69,6.1NRT,280.15,12.02,N
45.14559,9.94528,305.63,1.01,1.01,2022-02-26,0134,A,65,6.1NRT,274.95,12.17,N
-14.42618,-45.58932,306.94,1.89,1.34,2022-02-26,0156,T,70,6.1NRT,292.05,19.88,N
-13.62492,-45.43247,315.33,2.01,1.38,2022-02-26,0156,T,91,6.1NRT,291.48,37.11,N
-13.62011,-45.42123,304.48,2.02,1.38,2022-02-26,0156,T,17,6.1NRT,290.9,16.05,N
-13.62316,-45.4397,305.07,2.01,1.38,2022-02-26,0156,T,23,6.1NRT,290.9,16.98,N
-13.58611,-45.44645,304.74,2.01,1.38,2022-02-26,0158,T,49,6.1NRT,290.9,16.87,N
-12.37013,-55.04949,315.86,1.29,1.13,2022-02-26,0158,T,92,6.1NRT,294.12,18.1,N
-8.87236,-49.91171,306.98,1.19,1.08,2022-02-26,0158,T,68,6.1NRT,295.46,6.78,N
-8.87396,-49.92243,312.46,1.19,1.08,2022-02-26,0158,T,84,6.1NRT,295.46,11.85,N
-8.30297,-55.10919,305.8,1.17,1.08,2022-02-26,0158,T,66,6.1NRT,293.97,6.07,N
-2.13465,-54.36391,309.18,1,1,2022-02-26,0200,T,77,6.1NRT,290.74,6.71,N
8.01232,-56.9092,309.54,1.02,1.01,2022-02-26,0202,T,67,6.1NRT,284.1,9.12,N
8.01102,-56.91833,309.39,1.02,1.01,2022-02-26,0202,T,66,6.1NRT,282.85,9.14,N
8.18146,-65.6841,308.22,3.87,1.83,2022-02-26,0202,T,74,6.1NRT,285.96,59.93,N
8.18797,-65.69008,304.48,3.87,1.83,2022-02-26,0202,T,49,6.1NRT,285.48,40.1,N
9.62404,-63.71132,307.96,2.55,1.54,2022-02-26,0202,T,73,6.1NRT,287.29,36.07,N
9.62031,-63.73413,326.29,2.56,1.54,2022-02-26,0202,T,100,6.1NRT,286.48,99.56,N
9.72914,-63.4618,304.98,2.43,1.5,2022-02-26,0202,T,55,6.1NRT,287.34,25.95,N
15.40687,120.52216,319.4,1.42,1.18,2022-02-26,0245,T,71,6.1NRT,298.52,12,D
15.40467,120.53526,319.72,1.42,1.18,2022-02-26,0245,T,72,6.1NRT,298.09,12.92,D
15.41046,120.52972,326.11,1.42,1.18,2022-02-26,0245,T,76,6.1NRT,298.87,23.1,D
15.37005,120.0737,311.84,1.33,1.14,2022-02-26,0245,T,60,6.1NRT,291.37,11.09,D
14.59944,121.2657,313.27,1.65,1.26,2022-02-26,0245,T,57,6.1NRT,295.06,12.16,D
14.07769,120.73496,313.33,1.55,1.23,2022-02-26,0245,T,45,6.1NRT,293.43,11.76,D
14.71162,106.66571,311.94,3.87,1.83,2022-02-26,0245,T,24,6.1NRT,294.6,33.46,D
10.84592,107.96779,323.65,2.7,1.57,2022-02-26,0247,T,75,6.1NRT,296.55,56.09,D
10.84299,107.99241,327.39,2.69,1.57,2022-02-26,0247,T,80,6.1NRT,298.28,72.18,D
10.8385,107.98577,330.83,2.69,1.57,2022-02-26,0247,T,84,6.1NRT,298.03,91.6,D
10.57587,107.30552,313.22,3.02,1.65,2022-02-26,0247,T,38,6.1NRT,291.21,26.82,D
10.57584,107.29942,313.52,3.02,1.65,2022-02-26,0247,T,26,6.1NRT,292.02,26.52,D
4.47561,118.61122,314.29,1.57,1.23,2022-02-26,0247,T,0,6.1NRT,295.98,10.31,D
2.07253,117.14738,308.99,1.35,1.15,2022-02-26,0249,T,62,6.1NRT,292.43,7.09,D
-2.58259,121.37414,310.18,3.39,1.74,2022-02-26,0249,T,30,6.1NRT,286.88,33.64,D
-1.89105,114.11088,312.36,1.05,1.02,2022-02-26,0249,T,69,6.1NRT,286.73,7.55,D
-7.43504,112.47751,316.33,1.02,1.01,2022-02-26,0251,T,44,6.1NRT,294.78,7.13,D
-7.56351,112.60258,315.09,1.03,1.01,2022-02-26,0251,T,32,6.1NRT,294.21,6.56,D
-8.11657,112.92548,312.03,1.06,1.03,2022-02-26,0251,T,0,6.1NRT,282.92,10.59,D
47.76241,121.8419,306.43,1.17,1.08,2022-02-26,0236,T,63,6.1NRT,276.13,14.58,D
45.93651,122.21088,303.24,1.09,1.04,2022-02-26,0236,T,55,6.1NRT,278.91,8.02,D
45.87827,122.24802,306.68,1.09,1.04,2022-02-26,0236,T,63,6.1NRT,280.82,9.41,D
45.86727,122.25963,306.74,1.09,1.04,2022-02-26,0236,T,58,6.1NRT,280.77,9.38,D
45.86554,122.27349,300.07,1.09,1.04,2022-02-26,0236,T,20,6.1NRT,279.97,5.55,D
44.22274,125.59306,302.94,1.03,1.01,2022-02-26,0236,T,54,6.1NRT,278.84,7.09,D
42.73217,130.99863,301.12,1.8,1.31,2022-02-26,0236,T,43,6.1NRT,281.17,16.24,D
41.8599,124.2063,300.83,1.01,1,2022-02-26,0236,T,36,6.1NRT,277,7.63,D
41.84373,123.76261,300.16,1,1,2022-02-26,0236,T,30,6.1NRT,281.44,5.56,D
41.821,122.30534,300.11,1.02,1.01,2022-02-26,0236,T,27,6.1NRT,276.72,5.51,D
41.74577,122.8455,308.02,1,1,2022-02-26,0236,T,58,6.1NRT,278.42,9.58,D
41.46291,123.52206,301.01,1,1,2022-02-26,0236,T,23,6.1NRT,280.09,4.41,D
41.44691,123.50571,300.77,1,1,2022-02-26,0236,T,20,6.1NRT,280.26,4.03,D
41.40372,123.17046,306.45,1,1,2022-02-26,0236,T,57,6.1NRT,280.29,8.18,D
41.3945,123.10708,320.42,1,1,2022-02-26,0236,T,28,6.1NRT,281.41,15.65,D
41.3928,123.11887,327.73,1,1,2022-02-26,0236,T,63,6.1NRT,280.69,24.07,D
41.34978,123.41319,310.76,1,1,2022-02-26,0236,T,49,6.1NRT,281.02,8.25,D
41.34805,123.42495,314.87,1,1,2022-02-26,0236,T,72,6.1NRT,280.57,11.97,D
41.34958,123.3521,306.43,1,1,2022-02-26,0236,T,35,6.1NRT,281.44,6.26,D
41.34784,123.36387,306.13,1,1,2022-02-26,0236,T,35,6.1NRT,281.03,6.01,D
41.34611,123.37563,305.27,1,1,2022-02-26,0236,T,29,6.1NRT,281.03,5.35,D
41.34091,123.41093,312.64,1,1,2022-02-26,0236,T,36,6.1NRT,280.69,9.23,D
41.38865,123.0201,345.65,1,1,2022-02-26,0236,T,94,6.1NRT,284.27,52.86,D
41.38695,123.0319,322.48,1,1,2022-02-26,0236,T,60,6.1NRT,281.52,19.07,D
41.37976,123.01789,319.51,1,1,2022-02-26,0236,T,52,6.1NRT,281.3,16.18,D
41.37297,123.06506,309.27,1,1,2022-02-26,0236,T,65,6.1NRT,280.38,9.46,D
41.33331,123.27477,300.56,1,1,2022-02-26,0236,T,16,6.1NRT,281.49,4.45,D
41.32641,123.32182,304.26,1,1,2022-02-26,0236,T,27,6.1NRT,281.14,5.11,D
41.33578,123.00101,309.55,1,1,2022-02-26,0236,T,32,6.1NRT,278.9,9.3,D
41.30678,123.20118,300.44,1,1,2022-02-26,0236,T,37,6.1NRT,279.87,5.61,D
41.27032,123.38705,303.71,1,1,2022-02-26,0236,T,52,6.1NRT,280.65,5.99,D
41.30271,123.10259,317.85,1,1,2022-02-26,0236,T,36,6.1NRT,275.93,15.15,D
41.36621,122.59228,315.07,1.01,1,2022-02-26,0236,T,75,6.1NRT,281.82,15.03,D
41.21764,123.61752,300.56,1,1,2022-02-26,0236,T,39,6.1NRT,280.47,6.05,D
41.29305,122.9782,336.1,1,1,2022-02-26,0236,T,30,6.1NRT,278.19,33.43,D
41.28967,123.00175,343.51,1,1,2022-02-26,0236,T,81,6.1NRT,277.68,44.76,D
41.28755,122.95242,315.97,1,1,2022-02-26,0236,T,50,6.1NRT,279.62,15.11,D
41.18653,123.14002,303.37,1,1,2022-02-26,0236,T,56,6.1NRT,278.42,7.12,D
41.16127,122.99387,305.03,1,1,2022-02-26,0236,T,60,6.1NRT,282.14,7.23,D
41.15958,123.00562,306.05,1,1,2022-02-26,0236,T,61,6.1NRT,281.94,8.2,D
41.13055,123.20515,301.41,1,1,2022-02-26,0236,T,47,6.1NRT,277.66,6.94,D
40.91882,123.20012,310.15,1,1,2022-02-26,0236,T,70,6.1NRT,278.87,12.17,D
40.49574,122.41834,301.58,1.01,1,2022-02-26,0238,T,45,6.1NRT,282.17,5.6,D
39.75764,118.08718,300.1,1.37,1.16,2022-02-26,0238,T,27,6.1NRT,285.86,4.63,D
39.41652,117.65869,300.31,1.43,1.18,2022-02-26,0238,T,34,6.1NRT,285.35,5.9,D
39.40759,116.94909,302.48,1.56,1.23,2022-02-26,0238,T,52,6.1NRT,286.13,9.64,D
39.37098,116.98009,301.74,1.55,1.23,2022-02-26,0238,T,49,6.1NRT,286.17,8.97,D
39.25982,116.95722,307.93,1.55,1.23,2022-02-26,0238,T,66,6.1NRT,284.38,15.55,D
39.25922,116.95005,300.36,1.55,1.23,2022-02-26,0238,T,23,6.1NRT,284.16,6.33,D
39.25743,116.96796,303.47,1.55,1.23,2022-02-26,0238,T,55,6.1NRT,284.3,9.55,D
38.57292,116.99696,305.73,1.51,1.21,2022-02-26,0238,T,62,6.1NRT,285.68,11.82,D
38.48885,116.58071,312.27,1.6,1.24,2022-02-26,0238,T,72,6.1NRT,286.97,21.1,D
38.07023,116.92214,301.78,1.51,1.21,2022-02-26,0238,T,42,6.1NRT,287.33,6.08,D
38.05376,116.94811,300.67,1.5,1.21,2022-02-26,0238,T,40,6.1NRT,285.37,5.56,D
38.01666,117.09647,301.67,1.47,1.2,2022-02-26,0238,T,48,6.1NRT,286.41,5.97,D
37.99578,117.19418,302.78,1.45,1.19,2022-02-26,0238,T,54,6.1NRT,285.77,7.87,D
38.01545,116.89021,327.27,1.51,1.21,2022-02-26,0238,T,85,6.1NRT,287.27,45.54,D
37.63419,116.13032,303.64,1.65,1.26,2022-02-26,0238,T,57,6.1NRT,288.33,9.17,D
